order_id,customer_id,ordered_at,net_sales
O1001,C01000,2026-01-01,1800
O1002,C01000,2026-01-19,1200
O1003,C01001,2026-01-02,2050
O1004,C01002,2026-01-03,2300
O1005,C01003,2026-01-04,2550
O1006,C01003,2026-02-15,2550
O1007,C01004,2026-01-05,2800
O1008,C01005,2026-01-06,1800
O1009,C01006,2026-01-07,2050
O1010,C01006,2026-03-14,2100
O1011,C01007,2026-01-08,2300
O1012,C01008,2026-01-09,2550
O1013,C01009,2026-01-10,2800
O1014,C01009,2026-02-13,1650
O1015,C01010,2026-01-11,1800
O1016,C01011,2026-01-12,2050
O1017,C01012,2026-01-13,2300
O1018,C01012,2026-03-12,1200
O1019,C01013,2026-01-14,2550
O1020,C01014,2026-01-15,2800
O1021,C01015,2026-01-16,1800
O1022,C01015,2026-02-11,2550
O1023,C01016,2026-01-17,2050
O1024,C01017,2026-01-18,2300
O1025,C02000,2026-02-01,1800
O1026,C02000,2026-02-19,1200
O1027,C02001,2026-02-02,2050
O1028,C02002,2026-02-03,2300
O1029,C02003,2026-02-04,2550
O1030,C02003,2026-03-18,2550
O1031,C02004,2026-02-05,2800
O1032,C02005,2026-02-06,1800
O1033,C02006,2026-02-07,2050
O1034,C02006,2026-04-14,2100
O1035,C02007,2026-02-08,2300
O1036,C02008,2026-02-09,2550
O1037,C02009,2026-02-10,2800
O1038,C02009,2026-03-16,1650
O1039,C02010,2026-02-11,1800
O1040,C02011,2026-02-12,2050
O1041,C02012,2026-02-13,2300
O1042,C02012,2026-04-12,1200
O1043,C02013,2026-02-14,2550
O1044,C02014,2026-02-15,2800
O1045,C02015,2026-02-16,1800
O1046,C02015,2026-03-14,2550
O1047,C02016,2026-02-17,2050
O1048,C02017,2026-02-18,2300
O1049,C03000,2026-03-01,1800
O1050,C03000,2026-03-19,1200
O1051,C03001,2026-03-02,2050
O1052,C03002,2026-03-03,2300
O1053,C03003,2026-03-04,2550
O1054,C03003,2026-04-15,2550
O1055,C03004,2026-03-05,2800
O1056,C03005,2026-03-06,1800
O1057,C03006,2026-03-07,2050
O1058,C03006,2026-05-12,2100
O1059,C03007,2026-03-08,2300
O1060,C03008,2026-03-09,2550
O1061,C03009,2026-03-10,2800
O1062,C03009,2026-04-13,1650
O1063,C03010,2026-03-11,1800
O1064,C03011,2026-03-12,2050
O1065,C03012,2026-03-13,2300
O1066,C03012,2026-05-10,1200
O1067,C03013,2026-03-14,2550
O1068,C03014,2026-03-15,2800
O1069,C03015,2026-03-16,1800
O1070,C03015,2026-04-11,2550
O1071,C03016,2026-03-17,2050
O1072,C03017,2026-03-18,2300
O1073,C04000,2026-04-01,1800
O1074,C04000,2026-04-19,1200
O1075,C04001,2026-04-02,2050
O1076,C04002,2026-04-03,2300
O1077,C04003,2026-04-04,2550
O1078,C04003,2026-05-16,2550
O1079,C04004,2026-04-05,2800
O1080,C04005,2026-04-06,1800
O1081,C04006,2026-04-07,2050
O1082,C04006,2026-06-12,2100
O1083,C04007,2026-04-08,2300
O1084,C04008,2026-04-09,2550
O1085,C04009,2026-04-10,2800
O1086,C04009,2026-05-14,1650
O1087,C04010,2026-04-11,1800
O1088,C04011,2026-04-12,2050
O1089,C04012,2026-04-13,2300
O1090,C04012,2026-06-10,1200
O1091,C04013,2026-04-14,2550
O1092,C04014,2026-04-15,2800
O1093,C04015,2026-04-16,1800
O1094,C04015,2026-05-12,2550
O1095,C04016,2026-04-17,2050
O1096,C04017,2026-04-18,2300
O1097,C05000,2026-05-01,1800
O1098,C05000,2026-05-19,1200
O1099,C05001,2026-05-02,2050
O1100,C05002,2026-05-03,2300
O1101,C05003,2026-05-04,2550
O1102,C05004,2026-05-05,2800
O1103,C05004,2026-06-24,1200
O1104,C05005,2026-05-06,1800
O1105,C05006,2026-05-07,2050
O1106,C05007,2026-05-08,2300
O1107,C05008,2026-05-09,2550
O1108,C05008,2026-06-04,1200
O1109,C05009,2026-05-10,2800
O1110,C05010,2026-05-11,1800
O1111,C05011,2026-05-12,2050
O1112,C05012,2026-05-13,2300
O1113,C05012,2026-07-10,1200
O1114,C05013,2026-05-14,2550
O1115,C05014,2026-05-15,2800
O1116,C05015,2026-05-16,1800
O1117,C05016,2026-05-17,2050
O1118,C05016,2026-06-20,1200
O1119,C05017,2026-05-18,2300
O1120,C06000,2026-06-01,1800
O1121,C06000,2026-06-19,1200
O1122,C06001,2026-06-02,2050
O1123,C06002,2026-06-03,2300
O1124,C06003,2026-06-04,2550
O1125,C06004,2026-06-05,2800
O1126,C06004,2026-07-25,1200
O1127,C06005,2026-06-06,1800
O1128,C06006,2026-06-07,2050
